time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01 00:00:00,7187.08,7260.8,7177.59,7250.01,1034901,0,0
2020-01-02 00:00:00,7250.11,7250.21,6955.34,7160.79,3387843,0,0
2020-01-02 04:00:00,7160.79,7160.79,7080.29,7105.79,8203,93,0
2020-01-02 08:00:00,7106.29,7134.69,7066.29,7131.04,9536,0,0
2020-01-02 12:00:00,7131.54,7155.54,7074.99,7108.29,9578,0,0
2020-01-02 16:00:00,7108.04,7137.04,6872.91,6945.79,12234,0,0
2020-01-02 20:00:00,6945.29,6975.54,6923.04,6959.04,5192,0,0
2020-01-03 00:00:00,6998.19,7429.81,6859.79,6870.04,7591764,0,0
2020-01-03 04:00:00,6870.29,7243.29,6851.79,7204.04,11538,0,0
2020-01-03 08:00:00,7204.29,7344.04,7174.04,7336.29,12001,0,0
2020-01-03 12:00:00,7337.04,7369.79,7268.79,7338.99,11377,0,0
2020-01-03 16:00:00,7339.04,7402.89,7226.29,7352.15,16298,0,0
2020-01-03 20:00:00,7352.53,7364.28,7250.58,7266.18,11583,167,0
2020-01-04 00:00:00,7296.06,7412.73,7289.27,7362.39,1805901,0,0
2020-01-05 00:00:00,7362.29,7501.53,7343.81,7375.87,3018601,0,0
2020-01-06 00:00:00,7375.17,7611.61,7294.41,7413.93,3972196,0,0
2020-01-06 04:00:00,7411.83,7578.88,7396.37,7523.17,12444,0,0
2020-01-06 08:00:00,7523.75,7545.98,7497.78,7543.59,5934,0,0
2020-01-06 12:00:00,7544.59,7605.49,7482.49,7519.76,11740,0,0
2020-01-06 16:00:00,7520.52,7553.79,7497.37,7551.29,8425,55,0
2020-01-06 20:00:00,7553.04,7606.54,7514.17,7569.66,8094,0,0
2020-01-07 00:00:00,7576.65,8175.59,7486.63,7905.02,7662713,0,0
2020-01-07 04:00:00,7907.02,7939.41,7821.36,7872.84,11240,0,0
2020-01-07 08:00:00,7873.21,7898.95,7850.35,7854.57,7709,167,0
2020-01-07 12:00:00,7854.2,7961.53,7807.36,7843.95,13380,167,0
2020-01-07 16:00:00,7844.32,7954.68,7721.61,7939.98,18587,0,0
2020-01-07 20:00:00,7940.11,8191.51,7919.61,8021.64,23220,0,0
2020-01-08 00:00:00,8003.18,8452.4,7872.33,8374.97,11199337,0,0
2020-01-08 04:00:00,8374.84,8426.71,8247.99,8332.94,23760,0,0
2020-01-08 08:00:00,8334.01,8363.3,8263.45,8299.33,16360,0,0
2020-01-08 12:00:00,8299.68,8415.05,8209.15,8384.42,18696,0,0
2020-01-08 16:00:00,8384.08,8384.08,8007.05,8072.67,33766,0,0
2020-01-08 20:00:00,8069.87,8088.84,7861.95,8001.19,25664,0,0
2020-01-09 00:00:00,7998.89,8111.72,7747.46,7993.79,4744998,0,0
2020-01-09 04:00:00,7993.79,8013.29,7919.29,7938.29,10464,168,0
2020-01-09 08:00:00,7937.79,7965.29,7837.79,7868.79,9898,0,0
2020-01-09 12:00:00,7868.79,7940.29,7848.79,7887.29,8417,0,0
2020-01-09 16:00:00,7888.29,7924.29,7753.79,7791.79,12032,193,0
2020-01-09 20:00:00,7790.79,7996.29,7732.29,7784.79,16964,0,0
2020-01-10 00:00:00,7782.52,8110.86,7669.05,7796.29,6373421,0,0
2020-01-10 04:00:00,7796.29,7812.29,7695.79,7710.29,5431,193,0
2020-01-10 08:00:00,7710.29,7768.79,7673.29,7712.29,7029,0,0
2020-01-10 12:00:00,7711.79,7935.29,7662.29,7851.29,14652,0,0
2020-01-10 16:00:00,7851.29,8132.79,7831.79,7962.79,16897,0,0
2020-01-10 20:00:00,7963.79,8132.79,7960.79,8057.29,14080,0,0
2020-01-11 00:00:00,8030.45,8263.3,7966.32,8082.49,5419201,0,0
2020-01-12 00:00:00,8081.0,8162.41,7942.95,8090.29,4296301,0,0
2020-01-13 00:00:00,8095.28,8192.79,8044.74,8144.29,2515222,0,0
2020-01-13 04:00:00,8142.79,8149.29,8068.79,8080.79,3493,0,0
2020-01-13 08:00:00,8080.79,8117.79,8040.79,8097.29,4120,193,0
2020-01-13 12:00:00,8096.79,8117.79,8037.29,8071.79,4243,193,0
2020-01-13 16:00:00,8071.79,8126.29,8058.79,8090.79,5630,0,0
2020-01-13 20:00:00,8089.79,8157.79,8081.29,8127.29,5179,143,0
2020-01-14 00:00:00,8119.15,8769.24,8085.29,8435.79,7884788,0,0
2020-01-14 04:00:00,8435.79,8571.08,8374.78,8477.28,13533,0,0
2020-01-14 08:00:00,8475.78,8559.6,8462.28,8490.28,6965,143,0
2020-01-14 12:00:00,8489.78,8603.78,8456.76,8579.78,9739,0,0
2020-01-14 16:00:00,8580.28,8821.28,8519.5,8779.28,22524,0,0
2020-01-14 20:00:00,8779.28,8858.78,8671.28,8734.78,12512,0,0
2020-01-15 00:00:00,8700.31,8897.28,8550.68,8767.28,5255029,0,0
2020-01-15 04:00:00,8768.28,8819.78,8550.78,8600.78,10204,144,0
2020-01-15 08:00:00,8600.78,8761.78,8586.78,8733.78,8651,143,0
2020-01-15 12:00:00,8735.78,8899.28,8702.28,8873.78,12123,0,0
2020-01-15 16:00:00,8867.78,8881.78,8654.28,8783.28,16153,0,0
2020-01-15 20:00:00,8783.28,8844.78,8698.28,8820.78,9844,193,0
2020-01-16 00:00:00,8802.8,8865.78,8570.36,8650.28,4081592,0,0
2020-01-16 04:00:00,8651.28,8702.78,8576.28,8683.28,9491,193,0
2020-01-16 08:00:00,8683.78,8704.28,8585.79,8631.79,9993,0,0
2020-01-16 12:00:00,8630.79,8770.29,8586.29,8685.79,16159,41,0
2020-01-16 16:00:00,8684.79,8709.83,8598.59,8663.79,20762,80,0
2020-01-16 20:00:00,8664.29,8747.54,8632.79,8675.79,13909,0,0
2020-01-17 00:00:00,8669.75,8990.0,8616.29,8717.29,4504519,0,0
