time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02 00:00:00,1517.99,1531.33,1517.23,1528.78,94418,0,0
2020-01-02 04:00:00,1520.26,1520.36,1518.95,1520.19,2204,19,0
2020-01-02 08:00:00,1520.2,1521.37,1518.38,1520.6,12678,17,0
2020-01-02 12:00:00,1520.61,1529.01,1519.6,1528.04,12208,16,0
2020-01-02 16:00:00,1528.04,1531.32,1522.75,1525.19,21885,14,0
2020-01-02 20:00:00,1525.19,1529.01,1524.85,1528.77,6549,16,0
2020-01-03 00:00:00,1526.63,1553.51,1526.63,1534.89,132303,0,0
2020-01-03 04:00:00,1534.89,1543.8,1532.54,1541.42,15791,14,0
2020-01-03 08:00:00,1541.42,1550.3,1540.12,1546.75,18893,14,0
2020-01-03 12:00:00,1546.79,1551.46,1540.86,1546.25,21524,14,0
2020-01-03 16:00:00,1546.29,1551.01,1544.03,1548.79,21794,14,0
2020-01-03 20:00:00,1548.79,1553.43,1546.2,1551.44,11884,14,0
2020-01-06 00:00:00,1559.72,1587.86,1559.66,1577.72,157862,0,0
2020-01-06 04:00:00,1577.72,1579.46,1573.46,1574.88,13518,14,0
2020-01-06 08:00:00,1574.85,1577.98,1570.13,1577.17,23975,14,0
2020-01-06 12:00:00,1577.15,1579.31,1571.37,1574.17,22642,14,0
2020-01-06 16:00:00,1574.28,1576.61,1560.7,1564.44,29527,14,0
2020-01-06 20:00:00,1564.44,1568.46,1562.92,1565.63,10710,15,0
2020-01-07 00:00:00,1564.58,1577.28,1555.29,1557.79,136476,0,0
2020-01-07 04:00:00,1557.79,1562.93,1555.23,1562.43,11313,15,0
2020-01-07 08:00:00,1562.43,1570.71,1562.31,1566.15,23947,15,0
2020-01-07 12:00:00,1566.15,1569.59,1563.84,1568.14,18934,8,0
2020-01-07 16:00:00,1568.14,1573.13,1565.6,1571.85,24593,7,0
2020-01-07 20:00:00,1571.85,1577.32,1569.57,1573.24,10677,7,0
2020-01-08 00:00:00,1576.31,1611.35,1552.22,1593.43,196294,0,0
2020-01-08 04:00:00,1593.43,1595.28,1583.67,1594.46,24982,7,0
2020-01-08 08:00:00,1594.36,1595.16,1579.16,1583.66,27233,7,0
2020-01-08 12:00:00,1583.66,1584.76,1568.06,1576.73,27734,7,0
2020-01-08 16:00:00,1576.76,1578.31,1552.65,1561.96,33067,7,0
2020-01-08 20:00:00,1561.92,1562.29,1552.22,1556.36,15250,7,0
2020-01-09 00:00:00,1556.67,1561.31,1540.21,1559.66,136228,0,0
2020-01-09 04:00:00,1559.65,1560.76,1555.02,1555.34,9187,9,0
2020-01-09 08:00:00,1555.27,1555.87,1540.2,1546.34,19864,7,0
2020-01-09 12:00:00,1546.34,1556.53,1545.54,1549.8,18165,7,0
2020-01-09 16:00:00,1549.77,1552.64,1544.69,1549.27,22204,9,0
2020-01-09 20:00:00,1549.27,1555.09,1549.27,1552.08,9568,10,0
2020-01-10 00:00:00,1552.38,1563.12,1545.7,1547.93,115531,0,0
2020-01-10 04:00:00,1547.93,1549.32,1545.73,1548.33,6040,7,0
2020-01-10 08:00:00,1548.33,1552.4,1546.17,1548.27,13567,9,0
2020-01-10 12:00:00,1548.17,1556.58,1546.82,1548.66,16295,7,0
2020-01-10 16:00:00,1548.67,1561.05,1547.69,1559.41,26047,7,0
2020-01-10 20:00:00,1559.4,1563.13,1557.83,1561.76,10120,9,0
2020-01-13 00:00:00,1561.83,1561.83,1546.55,1556.73,103746,0,0
2020-01-13 04:00:00,1556.73,1557.56,1554.94,1555.14,6348,10,0
2020-01-13 08:00:00,1555.13,1555.48,1546.51,1547.88,14083,7,0
2020-01-13 12:00:00,1547.87,1556.09,1547.85,1554.69,14780,7,0
2020-01-13 16:00:00,1554.69,1555.26,1548.62,1549.7,23874,7,0
2020-01-13 20:00:00,1549.7,1550.43,1547.73,1548.34,7826,8,0
2020-01-14 00:00:00,1548.08,1548.9,1535.94,1537.61,129155,0,0
2020-01-14 04:00:00,1537.58,1540.51,1536.11,1537.94,9279,9,0
2020-01-14 08:00:00,1537.95,1545.9,1536.35,1544.03,12970,9,0
2020-01-14 12:00:00,1544.04,1546.71,1542.03,1544.1,16783,7,0
2020-01-14 16:00:00,1544.1,1547.0,1540.91,1543.53,22811,7,0
2020-01-14 20:00:00,1543.53,1548.8,1542.92,1546.25,12838,7,0
2020-01-15 00:00:00,1546.21,1558.14,1545.92,1547.31,118408,0,0
2020-01-15 04:00:00,1547.31,1553.34,1547.19,1553.16,7033,9,0
2020-01-15 08:00:00,1553.16,1554.26,1550.23,1553.21,11426,10,0
2020-01-15 12:00:00,1553.22,1554.82,1546.93,1554.76,13739,7,0
2020-01-15 16:00:00,1554.76,1557.0,1548.68,1554.01,22818,7,0
2020-01-15 20:00:00,1554.01,1558.17,1553.04,1556.22,12164,9,0
2020-01-16 00:00:00,1556.26,1558.08,1548.0,1556.44,99278,0,0
2020-01-16 04:00:00,1556.44,1557.09,1551.37,1551.68,6279,7,0
2020-01-16 08:00:00,1551.68,1555.64,1551.57,1554.81,10977,7,0
2020-01-16 12:00:00,1554.81,1557.49,1552.48,1554.27,12481,9,0
2020-01-16 16:00:00,1554.25,1555.53,1547.98,1551.52,23792,7,0
2020-01-16 20:00:00,1551.53,1554.07,1549.38,1552.46,6716,10,0
2020-01-17 00:00:00,1552.37,1561.21,1549.33,1553.11,99787,0,0
2020-01-17 04:00:00,1553.11,1556.93,1551.94,1555.6,6002,7,0
2020-01-17 08:00:00,1555.59,1557.01,1554.05,1555.43,11650,10,0
2020-01-17 12:00:00,1555.44,1560.73,1554.23,1555.34,15155,9,0
2020-01-17 16:00:00,1555.33,1560.11,1554.01,1559.79,19185,7,0
