time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01 00:00:00,7187.08,7260.8,7177.59,7250.01,1034901,0,0
2020-01-02 00:00:00,7250.11,7250.21,6955.34,7171.29,3381718,0,0
2020-01-02 01:00:00,7171.79,7178.29,7150.79,7172.79,2900,243,0
2020-01-02 02:00:00,7169.79,7184.79,7156.29,7181.29,1163,193,0
2020-01-02 03:00:00,7181.29,7181.79,7152.29,7160.79,2062,293,0
2020-01-02 04:00:00,7160.79,7160.79,7118.29,7136.29,1413,143,0
2020-01-02 05:00:00,7133.79,7135.79,7089.79,7094.79,2018,93,0
2020-01-02 06:00:00,7093.79,7126.79,7080.29,7104.79,3028,243,0
2020-01-02 07:00:00,7105.79,7120.79,7095.29,7105.79,1744,243,0
2020-01-02 08:00:00,7106.29,7116.29,7085.79,7100.79,1493,393,0
2020-01-02 09:00:00,7100.79,7109.29,7066.29,7072.29,2245,293,0
2020-01-02 10:00:00,7072.29,7123.29,7069.79,7120.79,3216,293,0
2020-01-02 11:00:00,7120.79,7134.69,7103.29,7131.04,2582,0,0
2020-01-02 12:00:00,7131.54,7155.54,7126.04,7133.54,2284,0,0
2020-01-02 13:00:00,7133.04,7141.79,7114.54,7114.54,2493,143,0
2020-01-02 14:00:00,7114.29,7142.29,7114.04,7133.54,1921,143,0
2020-01-02 15:00:00,7133.79,7138.54,7074.99,7108.29,2880,43,0
2020-01-02 16:00:00,7108.04,7137.04,7094.39,7112.04,2924,0,0
2020-01-02 17:00:00,7112.54,7131.54,7096.29,7110.04,1730,68,0
2020-01-02 18:00:00,7107.04,7125.54,6990.54,7023.79,2485,0,0
2020-01-02 19:00:00,7024.04,7024.04,6872.91,6945.79,5095,0,0
2020-01-02 20:00:00,6945.29,6967.79,6925.04,6952.54,1062,0,0
2020-01-02 21:00:00,6952.79,6975.54,6938.29,6962.54,1132,0,0
2020-01-02 22:00:00,6963.29,6964.54,6923.04,6929.29,1876,143,0
