time,close,signal
2020.02.28 16:00:00,1.10012,-1
2020.02.28 20:00:00,1.10293,-1
2020.03.02 00:00:00,1.10565,-1
2020.03.02 04:00:00,1.10432,-1
2020.03.02 08:00:00,1.10795,-1
2020.03.02 12:00:00,1.11218,-1
2020.03.02 16:00:00,1.11796,-1
2020.03.02 20:00:00,1.11332,-1
2020.03.03 00:00:00,1.11319,-1
2020.03.03 04:00:00,1.1145,-1
2020.03.03 08:00:00,1.11266,-1
2020.03.03 12:00:00,1.1119,-1
2020.03.03 16:00:00,1.11587,-1
2020.03.03 20:00:00,1.1171,-1
2020.03.04 00:00:00,1.11664,-1
2020.03.04 04:00:00,1.11567,-1
2020.03.04 08:00:00,1.11566,-1
2020.03.04 12:00:00,1.11252,-1
2020.03.04 16:00:00,1.11236,-1
2020.03.04 20:00:00,1.11336,-1
2020.03.05 00:00:00,1.11368,-1
2020.03.05 04:00:00,1.11346,-1
2020.03.05 08:00:00,1.11733,-1
2020.03.05 12:00:00,1.11866,-1
2020.03.05 16:00:00,1.12139,-1
2020.03.05 20:00:00,1.12371,-1
2020.03.06 00:00:00,1.12452,-1
2020.03.06 04:00:00,1.12283,-1
2020.03.06 08:00:00,1.12938,-1
2020.03.06 12:00:00,1.1323,-1
2020.03.06 16:00:00,1.13053,-1
2020.03.06 20:00:00,1.12901,-1
2020.03.09 00:00:00,1.14279,-1
2020.03.09 04:00:00,1.13815,-1
2020.03.09 08:00:00,1.13911,-1
2020.03.09 12:00:00,1.14004,-1
2020.03.09 16:00:00,1.14624,-1
2020.03.09 20:00:00,1.14358,-1
2020.03.10 00:00:00,1.14063,-1
2020.03.10 04:00:00,1.1341,-1
2020.03.10 08:00:00,1.13506,-1
2020.03.10 12:00:00,1.13717,-1
2020.03.10 16:00:00,1.13157,-1
2020.03.10 20:00:00,1.12905,-1
2020.03.11 00:00:00,1.13234,-1
2020.03.11 04:00:00,1.13503,-1
2020.03.11 08:00:00,1.13037,-1
2020.03.11 12:00:00,1.13449,-1
2020.03.11 16:00:00,1.12845,-1
2020.03.11 20:00:00,1.12607,-1
2020.03.12 00:00:00,1.13189,-1
2020.03.12 04:00:00,1.1293,-1
2020.03.12 08:00:00,1.12448,-1
2020.03.12 12:00:00,1.1239,-1
2020.03.12 16:00:00,1.1185,-1
2020.03.12 20:00:00,1.11667,-1
2020.03.13 00:00:00,1.11864,-1
2020.03.13 04:00:00,1.12022,-1
2020.03.13 08:00:00,1.11648,-1
2020.03.13 12:00:00,1.11238,-1
2020.03.13 16:00:00,1.10803,-1
2020.03.13 20:00:00,1.11025,-1
2020.03.16 00:00:00,1.11014,-1
2020.03.16 04:00:00,1.11183,-1
2020.03.16 08:00:00,1.11926,-1
2020.03.16 12:00:00,1.11489,-1
2020.03.16 16:00:00,1.11589,-1
2020.03.16 20:00:00,1.11777,-1
2020.03.17 00:00:00,1.11691,-1
2020.03.17 04:00:00,1.11684,-1
2020.03.17 08:00:00,1.10938,-1
2020.03.17 12:00:00,1.09947,-1
2020.03.17 16:00:00,1.09882,-1
2020.03.17 20:00:00,1.10052,-1
2020.03.18 00:00:00,1.10004,-1
2020.03.18 04:00:00,1.1039,-1
2020.03.18 08:00:00,1.09949,-1
2020.03.18 12:00:00,1.09074,-1
2020.03.18 16:00:00,1.08474,-1
2020.03.18 20:00:00,1.09116,-1
