time,close,signal
2020.02.25 16:00:00,9327.79,-1
2020.02.25 20:00:00,9367.29,-1
2020.02.26 00:00:00,9188.79,-1
2020.02.26 04:00:00,9184.29,-1
2020.02.26 08:00:00,9108.29,-1
2020.02.26 12:00:00,9069.29,-1
2020.02.26 16:00:00,8711.79,-1
2020.02.26 20:00:00,8751.79,-1
2020.02.27 00:00:00,8682.29,-1
2020.02.27 04:00:00,8756.29,-1
2020.02.27 08:00:00,8740.29,-1
2020.02.27 12:00:00,8821.29,-1
2020.02.27 16:00:00,8913.29,-1
2020.02.27 20:00:00,8744.29,-1
2020.02.28 00:00:00,8890.29,-1
2020.02.28 04:00:00,8783.79,-1
2020.02.28 08:00:00,8596.29,-1
2020.02.28 12:00:00,8652.79,-1
2020.02.28 16:00:00,8561.79,-1
2020.02.28 20:00:00,8667.29,-1
2020.02.29 00:00:00,8632.96,-1
2020.03.01 00:00:00,8523.93,-1
2020.03.02 00:00:00,8547.79,-1
2020.03.02 04:00:00,8654.29,-1
2020.03.02 08:00:00,8690.79,-1
2020.03.02 12:00:00,8822.29,-1
2020.03.02 16:00:00,8868.29,-1
2020.03.02 20:00:00,8941.29,-1
2020.03.03 00:00:00,8825.29,-1
2020.03.03 04:00:00,8858.29,-1
2020.03.03 08:00:00,8830.79,-1
2020.03.03 12:00:00,8809.79,-1
2020.03.03 16:00:00,8717.29,-1
2020.03.03 20:00:00,8740.79,-1
2020.03.04 00:00:00,8791.29,-1
2020.03.04 04:00:00,8838.29,-1
2020.03.04 08:00:00,8752.79,-1
2020.03.04 12:00:00,8757.29,-1
2020.03.04 16:00:00,8726.29,-1
2020.03.04 20:00:00,8736.29,-1
2020.03.05 00:00:00,8882.79,-1
2020.03.05 04:00:00,8933.79,-1
2020.03.05 08:00:00,9081.29,-1
2020.03.05 12:00:00,9087.29,-1
2020.03.05 16:00:00,9106.79,-1
2020.03.05 20:00:00,9113.79,-1
2020.03.06 00:00:00,9032.29,-1
2020.03.06 04:00:00,9120.79,-1
2020.03.06 08:00:00,9126.29,-1
2020.03.06 12:00:00,9074.79,-1
2020.03.06 16:00:00,9088.29,-1
2020.03.06 20:00:00,9131.79,-1
2020.03.07 00:00:00,8879.75,-1
2020.03.08 00:00:00,8260.49,-1
2020.03.09 00:00:00,8084.29,-1
2020.03.09 04:00:00,7857.29,-1
2020.03.09 08:00:00,7980.79,-1
2020.03.09 12:00:00,7880.79,-1
2020.03.09 16:00:00,7785.28,-1
2020.03.09 20:00:00,7843.29,-1
2020.03.10 00:00:00,7933.29,-1
2020.03.10 04:00:00,7931.79,-1
2020.03.10 08:00:00,7901.29,-1
2020.03.10 12:00:00,8141.29,-1
2020.03.10 16:00:00,7839.79,-1
2020.03.10 20:00:00,7971.29,-1
2020.03.11 00:00:00,7944.23,-1
2020.03.11 04:00:00,7906.93,-1
2020.03.11 08:00:00,7828.79,-1
2020.03.11 12:00:00,7846.79,-1
2020.03.11 16:00:00,7766.29,-1
2020.03.11 20:00:00,7858.29,-1
2020.03.12 00:00:00,7922.29,-1
2020.03.12 04:00:00,7615.79,-1
2020.03.12 08:00:00,7371.29,-1
2020.03.12 12:00:00,5926.29,-1
